source_account_id,source_customer_id,customer_link_type,customer_link_key,id_number,passport_number,country_of_birth,bank_name,bank_code,branch_name,account_number,account_type,account_currency,account_status,account_age_months,opened_date,account_balance,monthly_deposits,monthly_withdrawals,overdraft_limit,mobile_banking_enabled
SRC-ACCT-000001,CUST-000001,passport_number,passport_number:P00000001,,P00000001,Botswana,Absa Botswana,ABSB,Welkom Branch,ABSB0000000001,transactional,BWP,active,104,2017-12-20,2760.72,607.46,467.52,0.0,True
SRC-ACCT-000002,CUST-000002,id_number,id_number:7102150002002,7102150002002,,South Africa,Capitec,CPTC,Kuruman Branch,CPTC0000000002,transactional,ZAR,active,75,2020-05-08,9066.04,1338.85,1191.55,0.0,True
SRC-ACCT-000003,CUST-000003,id_number,id_number:8906040003003,8906040003003,,South Africa,Standard Bank,SBZA,Welkom Branch,SBZA0000000003,premium_current,ZAR,active,80,2019-12-10,197974.18,80376.53,37196.21,27470.38,True
SRC-ACCT-000004,CUST-000004,passport_number,passport_number:P00000004,,P00000004,Zimbabwe,FBC Bank,FBCZ,Paarl Branch,FBCZ0000000004,premium_current,USD,active,139,2015-02-04,213993.98,46919.38,29619.02,48960.25,True
SRC-ACCT-000005,CUST-000005,id_number,id_number:7112150005005,7112150005005,,South Africa,Nedbank,NEDZ,Bloemfontein Branch,NEDZ0000000005,premium_current,ZAR,restricted,82,2019-10-11,313844.25,66461.25,34629.98,39452.66,True
SRC-ACCT-000006,CUST-000006,id_number,id_number:7506180006006,7506180006006,,South Africa,Capitec,CPTC,Bellville Branch,CPTC0000000006,cash_management,ZAR,active,25,2024-06-16,24362.6,6397.62,4119.99,4450.42,True
SRC-ACCT-000007,CUST-000007,id_number,id_number:5607110007007,5607110007007,,South Africa,Capitec,CPTC,Soweto Branch,CPTC0000000007,cash_management,ZAR,active,30,2024-01-18,229477.73,47327.37,40167.96,32722.75,False
SRC-ACCT-000008,CUST-000008,id_number,id_number:9209030008008,9209030008008,,South Africa,FNB,FNBZ,Welkom Branch,FNBZ0000000008,savings,ZAR,active,43,2022-12-24,10098.91,7966.42,7066.12,0.0,True
SRC-ACCT-000009,CUST-000009,id_number,id_number:5908310009009,5908310009009,,South Africa,FNB,FNBZ,Stellenbosch Branch,FNBZ0000000009,premium_current,ZAR,active,175,2012-02-20,2208.27,1099.08,950.17,468.57,False
SRC-ACCT-000010,CUST-000010,id_number,id_number:6110140010010,6110140010010,,South Africa,Capitec,CPTC,Polokwane Branch,CPTC0000000010,transactional,ZAR,active,45,2022-10-25,1139.42,422.6,228.57,0.0,True
SRC-ACCT-000011,CUST-000011,passport_number,passport_number:P00000011,,P00000011,Eswatini,Standard Bank Eswatini,SBZE,Kuruman Branch,SBZE0000000011,savings,SZL,active,30,2024-01-18,1702.11,422.6,202.49,0.0,True
SRC-ACCT-000012,CUST-000012,id_number,id_number:8401280012012,8401280012012,,South Africa,Capitec,CPTC,Gqeberha Branch,CPTC0000000012,cash_management,ZAR,active,76,2020-04-08,265650.67,46176.29,28344.73,32919.33,True
SRC-ACCT-000013,CUST-000013,passport_number,passport_number:P00000013,,P00000013,Lesotho,Nedbank Lesotho,NEDL,Richards Bay Branch,NEDL0000000013,premium_current,LSL,active,217,2008-09-08,187281.17,70714.56,27698.47,20714.8,True
SRC-ACCT-000014,CUST-000014,id_number,id_number:8501040014014,8501040014014,,South Africa,ABSA,ABSZ,De Aar Branch,ABSZ0000000014,premium_current,ZAR,active,178,2011-11-22,195814.24,48989.57,24143.76,27573.78,True
SRC-ACCT-000015,CUST-000015,id_number,id_number:0802160015015,0802160015015,,South Africa,Standard Bank,SBZA,Gqeberha Branch,SBZA0000000015,savings,ZAR,restricted,65,2021-03-04,22419.81,18938.89,13421.09,0.0,True
SRC-ACCT-000016,CUST-000016,id_number,id_number:0303160016016,0303160016016,,South Africa,ABSA,ABSZ,Queenstown Branch,ABSZ0000000016,transactional,ZAR,dormant,111,2017-05-24,221560.73,51954.69,36007.56,0.0,False
SRC-ACCT-000017,CUST-000017,id_number,id_number:6005030017017,6005030017017,,South Africa,Standard Bank,SBZA,Secunda Branch,SBZA0000000017,premium_current,ZAR,dormant,107,2017-09-21,3226.28,2141.3,755.75,299.52,True
SRC-ACCT-000018,CUST-000018,passport_number,passport_number:P00000018,,P00000018,Eswatini,First National Bank Eswatini,FNBE,Kimberley Branch,FNBE0000000018,premium_current,SZL,active,164,2013-01-15,4935.52,2985.07,1910.96,857.69,True
SRC-ACCT-000019,CUST-000019,id_number,id_number:8706280019019,8706280019019,,South Africa,ABSA,ABSZ,Pretoria Branch,ABSZ0000000019,premium_current,ZAR,active,233,2007-05-17,5544.04,2369.91,2023.41,303.2,True
SRC-ACCT-000020,CUST-000020,id_number,id_number:7802160020020,7802160020020,,South Africa,Standard Bank,SBZA,Centurion Branch,SBZA0000000020,premium_current,ZAR,dormant,26,2024-05-17,77087.3,20746.24,15640.71,7159.9,True
SRC-ACCT-000021,CUST-000021,passport_number,passport_number:P00000021,,P00000021,Lesotho,FNB Lesotho,FNBL,Bellville Branch,FNBL0000000021,savings,LSL,active,207,2009-07-05,643.26,551.4,311.17,0.0,True
SRC-ACCT-000022,CUST-000022,id_number,id_number:8902130022022,8902130022022,,South Africa,ABSA,ABSZ,Springbok Branch,ABSZ0000000022,transactional,ZAR,restricted,126,2016-02-29,22603.16,3121.51,2087.25,0.0,True
SRC-ACCT-000023,CUST-000023,id_number,id_number:5801070023023,5801070023023,,South Africa,Nedbank,NEDZ,Brits Branch,NEDZ0000000023,transactional,ZAR,closed,202,2009-12-02,10557.82,4218.87,3472.06,0.0,True
SRC-ACCT-000024,CUST-000024,id_number,id_number:7701280024024,7701280024024,,South Africa,Standard Bank,SBZA,Brits Branch,SBZA0000000024,cash_management,ZAR,dormant,91,2019-01-14,3664.68,785.06,530.1,751.36,False
SRC-ACCT-000025,CUST-000025,id_number,id_number:6307230025025,6307230025025,,South Africa,FNB,FNBZ,Cape Town Branch,FNBZ0000000025,savings,ZAR,dormant,61,2021-07-02,34637.28,8471.84,5888.58,0.0,True
SRC-ACCT-000026,CUST-000026,id_number,id_number:7401140026026,7401140026026,,South Africa,ABSA,ABSZ,Paarl Branch,ABSZ0000000026,transactional,ZAR,dormant,178,2011-11-22,187544.71,46699.74,39767.12,0.0,True
SRC-ACCT-000027,CUST-000027,id_number,id_number:8911170027027,8911170027027,,South Africa,FNB,FNBZ,Johannesburg Branch,FNBZ0000000027,transactional,ZAR,active,108,2017-08-22,5925.32,1605.6,1361.26,0.0,True
SRC-ACCT-000028,CUST-000028,id_number,id_number:5504060028028,5504060028028,,South Africa,ABSA,ABSZ,Polokwane Branch,ABSZ0000000028,cash_management,ZAR,restricted,83,2019-09-11,9942.31,2309.25,1494.98,1254.73,True
SRC-ACCT-000029,CUST-000029,id_number,id_number:6705240029029,6705240029029,,South Africa,ABSA,ABSZ,Mbombela Branch,ABSZ0000000029,cash_management,ZAR,active,60,2021-08-01,1719.8,789.11,445.95,97.48,True
SRC-ACCT-000030,CUST-000030,id_number,id_number:9309260030030,9309260030030,,South Africa,FNB,FNBZ,Queenstown Branch,FNBZ0000000030,transactional,ZAR,active,20,2024-11-13,12725.12,4262.54,3677.21,0.0,True
SRC-ACCT-000031,CUST-000031,id_number,id_number:8301050031031,8301050031031,,South Africa,Nedbank,NEDZ,Ermelo Branch,NEDZ0000000031,transactional,ZAR,active,209,2009-05-06,217429.31,56414.72,25854.6,0.0,True
SRC-ACCT-000032,CUST-000032,id_number,id_number:7908260032032,7908260032032,,South Africa,ABSA,ABSZ,Kimberley Branch,ABSZ0000000032,premium_current,ZAR,active,214,2008-12-07,61601.17,19048.38,7896.03,14952.76,True
SRC-ACCT-000033,CUST-000033,id_number,id_number:5710140033033,5710140033033,,South Africa,FNB,FNBZ,Polokwane Branch,FNBZ0000000033,cash_management,ZAR,dormant,60,2021-08-01,50939.14,9741.41,8224.48,9012.78,True
SRC-ACCT-000034,CUST-000034,id_number,id_number:8507100034034,8507100034034,,South Africa,FNB,FNBZ,Sasolburg Branch,FNBZ0000000034,premium_current,ZAR,active,198,2010-04-01,11365.88,2954.78,1424.9,580.89,True
