source_customer_id,customer_type,first_name,last_name,id_number,passport_number,country_of_birth,primary_phone_number,secondary_phone_number,date_of_birth,gender,region,city,employment_status,income_band,customer_status,onboarding_date,kyc_status,risk_rating
CUST-000001,individual,Karabo,Pillay,,P00000001,Botswana,+27821000001,,1961-07-01,female,Free State,Welkom,employed,0-4999,active,1981-09-27,verified,medium
CUST-000002,individual,Mpho,Maseko,7102150002002,,South Africa,+27821000002,,1971-02-15,other,Northern Cape,Kuruman,employed,5000-9999,active,1999-07-24,verified,medium
CUST-000003,individual,Neo,Naidoo,8906040003003,,South Africa,+27821000003,,1989-06-04,other,Free State,Welkom,employed,80000+,active,2015-01-20,verified,low
CUST-000004,individual,Karabo,Dlamini,,P00000004,Zimbabwe,+27821000004,,1992-09-22,female,Western Cape,Paarl,employed,80000+,active,2022-10-01,verified,medium
CUST-000005,individual,Anele,Naidoo,7112150005005,,South Africa,+27821000005,,1971-12-15,other,Free State,Bloemfontein,self_employed,80000+,suspended,2024-08-18,failed,medium
CUST-000006,individual,Palesa,Mabena,7506180006006,,South Africa,+27821000006,,1975-06-18,male,Western Cape,Bellville,retired,10000-19999,active,2024-12-10,verified,low
CUST-000007,individual,Sipho,Mabena,5607110007007,,South Africa,+27821000007,,1956-07-11,unknown,Gauteng,Soweto,unemployed,80000+,active,1995-01-27,pending,high
CUST-000008,individual,Kabelo,Dlamini,9209030008008,,South Africa,+27821000008,,1992-09-03,male,Free State,Welkom,student,20000-39999,active,2013-11-16,verified,low
CUST-000009,individual,Karabo,Botha,5908310009009,,South Africa,+27821000009,,1959-08-31,other,Western Cape,Stellenbosch,student,0-4999,active,1981-11-21,verified,low
CUST-000010,individual,Ayanda,Mthembu,6110140010010,,South Africa,+27821000010,,1961-10-14,male,Limpopo,Polokwane,student,0-4999,active,2003-09-21,verified,low
CUST-000011,individual,Karabo,Naidoo,,P00000011,Eswatini,+27821000011,,2007-08-10,unknown,Northern Cape,Kuruman,employed,0-4999,active,2026-01-09,verified,low
CUST-000012,individual,Lindiwe,Van Wyk,8401280012012,,South Africa,+27821000012,,1984-01-28,male,Eastern Cape,Gqeberha,self_employed,80000+,active,2015-11-14,verified,low
CUST-000013,individual,Sibusiso,Molefe,,P00000013,Lesotho,+27821000013,,1994-02-24,unknown,KwaZulu-Natal,Richards Bay,retired,80000+,active,2024-06-23,verified,high
CUST-000014,individual,Karabo,Dlamini,8501040014014,,South Africa,+27821000014,,1985-01-04,female,Northern Cape,De Aar,employed,80000+,active,2022-08-29,verified,low
CUST-000015,individual,Sipho,Van Wyk,0802160015015,,South Africa,+27821000015,,2008-02-16,male,Eastern Cape,Gqeberha,retired,40000-79999,suspended,2026-03-03,failed,low
CUST-000016,individual,Naledi,Botha,0303160016016,,South Africa,+27821000016,,2003-03-16,female,Eastern Cape,Queenstown,retired,80000+,inactive,2023-11-09,pending,low
CUST-000017,individual,Naledi,Khumalo,6005030017017,,South Africa,+27821000017,,1960-05-03,other,Mpumalanga,Secunda,unemployed,5000-9999,inactive,1983-10-10,pending,low
CUST-000018,individual,Anele,Pillay,,P00000018,Eswatini,+27821000018,,1958-04-10,unknown,Northern Cape,Kimberley,unemployed,5000-9999,active,2016-01-11,expired,high
CUST-000019,individual,Nomsa,Pillay,8706280019019,,South Africa,+27821000019,,1987-06-28,unknown,Gauteng,Pretoria,self_employed,5000-9999,active,2025-09-23,expired,medium
CUST-000020,individual,Ayanda,Mahlangu,7802160020020,,South Africa,+27821000020,,1978-02-16,male,Gauteng,Centurion,employed,40000-79999,inactive,2005-11-21,not_started,low
CUST-000021,individual,Karabo,Maseko,,P00000021,Lesotho,+27821000021,,1958-09-12,female,Western Cape,Bellville,student,0-4999,active,1993-05-15,verified,low
CUST-000022,individual,Anele,Mabena,8902130022022,,South Africa,+27821000022,,1989-02-13,other,Northern Cape,Springbok,unemployed,10000-19999,suspended,2021-11-11,pending,high
CUST-000023,individual,Anele,Naidoo,5801070023023,,South Africa,+27821000023,,1958-01-07,female,North West,Brits,self_employed,10000-19999,closed,1976-11-07,expired,low
CUST-000024,individual,Zanele,Mahlangu,7701280024024,,South Africa,+27821000024,,1977-01-28,other,North West,Brits,retired,0-4999,inactive,2002-02-24,verified,high
CUST-000025,individual,Sipho,Mabena,6307230025025,,South Africa,+27821000025,,1963-07-23,other,Western Cape,Cape Town,student,20000-39999,inactive,2005-04-14,pending,low
CUST-000026,individual,Anele,Nkosi,7401140026026,,South Africa,+27821000026,,1974-01-14,unknown,Western Cape,Paarl,student,80000+,inactive,1994-04-25,not_started,low
CUST-000027,individual,Karabo,Van Wyk,8911170027027,,South Africa,+27821000027,,1989-11-17,male,Gauteng,Johannesburg,unemployed,5000-9999,active,2020-06-15,verified,high
CUST-000028,individual,Karabo,Nkosi,5504060028028,,South Africa,+27821000028,,1955-04-06,male,Limpopo,Polokwane,self_employed,5000-9999,suspended,2000-12-01,pending,medium
CUST-000029,individual,Nomsa,Khumalo,6705240029029,,South Africa,+27821000029,,1967-05-24,female,Mpumalanga,Mbombela,unemployed,0-4999,active,2024-12-06,verified,medium
CUST-000030,individual,Naledi,Naidoo,9309260030030,,South Africa,+27821000030,,1993-09-26,other,Eastern Cape,Queenstown,employed,10000-19999,active,2016-09-21,verified,medium
CUST-000031,individual,Thabo,Ndlovu,8301050031031,,South Africa,+27821000031,,1983-01-05,unknown,Mpumalanga,Ermelo,self-employed,80000+,active,2023-11-12,pending,medium
CUST-000032,individual,Ayanda,Mthembu,7908260032032,,South Africa,+27821000032,,1979-08-26,male,Northern Cape,Kimberley,self-employed,20000-39999,active,2017-03-23,verified,low
CUST-000033,individual,Sibusiso,Molefe,5710140033033,,South Africa,+27821000033,,1957-10-14,male,Limpopo,Polokwane,self_employed,20000-39999,inactive,2005-05-28,pending,low
CUST-000034,individual,Mpho,Botha,8507100034034,,South Africa,+27821000034,,1985-07-10,unknown,Free State,Sasolburg,retired,5000-9999,active,2011-04-30,not_started,low
CUST-000035,individual,Zanele,Molefe,9705150035035,,South Africa,+27821000035,,1997-05-15,male,KwaZulu-Natal,Durban,self_employed,5000-9999,active,2020-09-03,verified,medium
CUST-000036,individual,Sibusiso,Nkosi,,P00000036,Zimbabwe,+27821000036,,1953-09-13,unknown,Eastern Cape,Queenstown,unemployed,20000-39999,active,1975-11-05,verified,low
